Имя / Название,Telegram Username,Очки активности,Описание (Bio),Что рекламируют (Контекст),Где размещаются (Каналы),Кол-во рекламы в базе,Пример последнего поста
,@stretching_belgrade,1.8,Не заполнено,Heuristic Match: телефон (Business),Активен в 1 каналах,1,"**🌿 Тренировки по здоровой спине в Белграде

Опять шея затекла! 🥹

это про тебя? **Скорее всего ты в..."
vkusnota_ot_vali,@vkusnota_ot_vali,1.8,Не заполнено,Heuristic Match: предлагаю пишите заказ,Активен в 1 каналах,1,"Всем,привет!Меня зовут Валентина.Пока""сижу в декрете""есть возможность и желание делать закрутки☺️
Пр..."
Леонид Мастер,@leonid_majstor_beograd,1.8,Не заполнено,Heuristic Match: услуги заказ,Активен в 1 каналах,1,"РЕМОНТ ПОМЕЩЕНИЙ И МЕЛКИЙ РЕМОНТ
Электрик, Сантехник, Малярные и Отделочные работы 

БЕЛГРАД и приго..."
Mariia Pilipson,@Mary_Maryland,1.8,Не заполнено,Heuristic Match: ищу цена пишите,Активен в 1 каналах,1,"Ищу новую хозяйку/хозяина для своих любимых очков 🤍
Сделала коррекцию зрения — и они больше не нужны..."
kompukterj,@kompukterj,1.8,Не заполнено,Heuristic Match: продам стоимость (Business),Активен в 1 каналах,1,"Продам игровой mini-itx ПК:

CPU Ryzen 7 8700f;
MB Gigabyte a620i AX;
DDR5 32gb (2x16gb);
SSD NVMe m..."
Administrator,@beo_beauty,1.8,Не заполнено,Heuristic Match: услуги,Активен в 1 каналах,1,"Бьюти студия в 📍Новом Белграде открывает набор мастеров:

⚠️ ПОДОЛОГ | Мастер маникюра и педикюра
⚠️..."
Дядя Дима,@Dmitrybatkovich,1.8,Не заполнено,Heuristic Match: продам цена в лс,Активен в 1 каналах,1,"Продам: 2 стула + 2 подушки для дивана
🔖 Описание: Стулья (отделка кожа). Состояние на фото. 
🔖 Цена..."
Васья Жуковский,@vas_ili_zhu,1.8,Не заполнено,Heuristic Match: продам цена заказ,Активен в 1 каналах,1,Продам комплект рыбака для донной ловли. Всё абсолютно новое. Удилища 3м. Заказывал для себя за 12.0...
𝕶𝖆𝖗𝖆𝖑𝖑𝖎𝖘 𝕰𝖎𝖒𝖎𝖙𝖊𝖘𝖘,@hamlethamletovich,1.8,Не заполнено,Heuristic Match: прайс помощь,Активен в 1 каналах,1,"✨️Надоели одинаковые фотки у  белой стены в галерее? Значит, пришло время перемен!✨️

Я фотограф Ядв..."
Максим Льдов,@Maks_Ldov,1.8,Не заполнено,Heuristic Match: предлагаю подбор помощь,Активен в 1 каналах,1,"Установка систем безопасности в Белграде , Нови Саде и окрестностях
Предлагаю монтаж и настройку:
• ..."
Татьяна,@Letniidozhd,1.8,Не заполнено,Heuristic Match: пишите viber whatsapp,Активен в 1 каналах,1,"☑️Понедельник.
Самое время задать себе вопрос: ""что со мной происходит?""… и сразу переложить это на ..."
fominist82,@fominist82,1.8,Не заполнено,Heuristic Match: пишите viber номер,Активен в 1 каналах,1,"🍷** БАРМЕН-ОФИЦИАНТ В FOMIN BAR**

**Fomin Bar** — независимый бар на Врачаре, работающий с натураль..."
MaryKondoSale,@MaryKondoSale,1.8,Не заполнено,Heuristic Match: курс,Активен в 1 каналах,1,"Распродажа классных летних вещей от подруги укатившей в Нью-Йорк
1. Джинсовая мини-юбка М 400 rsd
2...."
Настя Настя,@cltmnstr,1.8,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,1. Блендер с функцией суповарки [Beko SMM888BX](https://www.beko.com/rs-sr/proizvodi/blenderi/stoni-...
Александр,@Belgrad_c8do20,1.8,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"🔧 Ремонт техники 
🔧 Мастер на час
🇷🇸 Белград

Занимаюсь ремонтом и обслуживанием техники, а также по..."
Артем Чурилов (Саксофонист),@artem_sax,1.8,Не заполнено,Heuristic Match: ищу обучение,Активен в 1 каналах,1,"Музыкант-саксофонист / преподаватель
---
27 лет опыт игры на музыкальных инструментах, 8 лет препода..."
Kirill K.,@Kir_8,1.8,Не заполнено,Heuristic Match: цена контакты аренда,Активен в 1 каналах,1,"🏠 **Сдаётся квартира в Белграде (с 28 апреля)**
Помогаем власнику найти арендатора

📍 **Локация:** [..."
Alisanovisadcake,@Alisanovisadcake,1.8,Не заполнено,Heuristic Match: пишите в лс (Business),Активен в 1 каналах,1,"ВАКАНСИЯ В КОМАНДУ ALISA
👩‍🍳 Мы развиваемся и ищем работника кухни в 📍Нови-Саде
Адрес: Цара душана 3..."
Ekaterina Zabolotskih,@yourPrincesskkk,1.8,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Сумочка Mango из нейлона 
Цена 500 din
Встреча у Rocket Coffee (Белград, Карађорђева 49)
[[more item..."
Михаил,@misharemont,1.8,Не заполнено,Heuristic Match: услуги предлагаю контакты,Активен в 1 каналах,1,"ДОМАШНИЙ МАСТЕР, САНТЕХНИК, ЭЛЕКТРИК, РЕМОНТ КВАРТИР, ОФИСОВ, РЕСТОРАНОВ 


Здравствуйте! Предлагаю ..."
Александр Степанов,@Alexastepanov,1.8,Не заполнено,Heuristic Match: услуги,Активен в 1 каналах,1,"МАСТЕР по мелкому и крупному бытовому ремонту
ЭЛЕКТРИК
САНТЕХНИК
МАСТЕР НА ЧАС
МАЛЯР

К вашим услуга..."
wantedcup,@wantedcup,1.8,Не заполнено,Heuristic Match: стоимость,Активен в 1 каналах,1,"👛**7600 RSD Сборный сервировочный сет из семи предметов с посеребрением 90й пробы (Германия), первая..."
imperfectocraft,@imperfectocraft,1.8,Не заполнено,Heuristic Match: предлагаю ищу пишите,Активен в 1 каналах,1,"Всем привет. 
(дубль два) 

Я всё ещё ищу человека который умеет вести соцсети (и в принципе сидеть ..."
lys_polina__,@lys_polina__,1.8,Не заполнено,Heuristic Match: курс,Активен в 1 каналах,1,"__🔥__ **OPEN DAY 23 апреля| Young Sparrows Cambridge Primary School (1-4 классы, 5-9 лет)**

Вы всё ..."
Bogdan Sklyarenko,@bogdan_sklyarenko,1.8,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Система контроля давления в шинах Slimtec TPMS X5i (Professional)

Новая, в заводской пленке.

• Тип..."
Kir,@k658186450,1.8,Не заполнено,Heuristic Match: обучение (Business),Активен в 1 каналах,1,"Ощутите уверенность за рулем с Автоинструктором на Балканах!  
Время покорять дороги и не бояться вы..."
Nastya Khalyavko,@nastyakhalyavko,1.8,Не заполнено,Heuristic Match: телефон,Активен в 1 каналах,1,"__upd: резерв __

Отдам бесплатно прозрачный чехол на телефон с завязкой, ни разу не использован + л..."
rasprodazazemun,@rasprodazazemun,1.8,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Платья на размер S/M, забирать в Земуне или на Новом Белграде, цена 500 rsd
Больше вариантов тут : h..."
Ivan,@crystalline_structures,1.8,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Помогаем властнице сдать квартиру, в которой сейчас живем. 

Евродвушка в 10 минутах ходьбы от ТЦ Ст..."
Аренда авто в Белграде,@bw_auto,1.8,Не заполнено,Heuristic Match: услуги аренда подбор,Активен в 1 каналах,1,"🚘 Аренда авто в Сербии без кредитки — майские праздники в пути!

🌸 Майские праздники уже близко! Не ..."
nuinoga,@nuinoga,1.8,Не заполнено,Heuristic Match: пишите подбор,Активен в 1 каналах,1,"Привет! Я – комфортный стилист Даша Е.
Я помогаю выглядеть стильно, выражать себя в одежде и аксессу..."
Tatiana,@tatiana_srb,1.8,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"БЕЛГРАД | НОВИ САД 
 
Теперь ВИЗАРАНЫ и ТРАНСФЕРЫ можно оплатить след. способом:  
🔸Криптой (USDT) 
..."
Светлана,@ssmorodinka,1.8,Не заполнено,Heuristic Match: стоимость,Активен в 1 каналах,1,"**Nespresso Essenza Mini - идеальный кофе дома за 30 секунд

**Практически новая - куплена в январе
..."
neratujvoli,@neratujvoli,1.8,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"✨Мартиша ищет дом✨

Молодая кошка, 1–1,5 года. Она активная и очень разговорчивая. Любит гладиться и..."
Fedor Cvetkov,@Fedorcvetkov,1.8,Не заполнено,Heuristic Match: цена пишите,Активен в 1 каналах,1,"👨‍🎓Онлайн и офлайн репетитор по сербскому языку и основным школьным предметам👨‍🎓

Привет! Меня зовут..."
DmitriyHRB,@DmitriyHRB,1.8,Не заполнено,Heuristic Match: заказ,Активен в 1 каналах,1,"🌯 Hungry Ridiculous Bear (Белград) ищет кассира-заготовщика
Если ты активный, улыбчивый и хочешь раб..."
thestorage_by_rare,@thestorage_by_rare,1.8,Не заполнено,Heuristic Match: цена телефон,Активен в 1 каналах,1,"**ХРАНЕНИЕ ВАШИХ ВЕЩЕЙ В БЕЛГРАДЕ! **

У нас вы можете арендовать место для хранения личных вещей, б..."
sale_bg1,@sale_bg1,1.8,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"1.Паяльник. Цена –  400 RSD.
2.Вентилятор кулер T128010SU 4pin для видеокарт. Цена 500 RSD
3.Новые с..."
ВИЗАРАН ИЗ БЕЛГРАДА#ЕДИНАЯ СЛУЖБА ЗАКАЗА ВИЗАРАНА,@MersedesVIPvizaran,1.8,Не заполнено,Heuristic Match: стоимость,Активен в 1 каналах,1,"💥💥💥💥💥💥💥💥💥
#ВИЗАРАН

🤩 **НАДЕЖНЫЙ ВИЗАРАН ИЗ БЕЛГРАДА** **КАЖДЫЙ ДЕНЬ !!! **
➿➿➿➿➿➿➿➿➿
🙊🙊🙊🙊🙊🙊🙊🙊🙊
🤩 **..."
Almaz,@drugocenny,1.8,Не заполнено,Heuristic Match: подбор помощь viber,Активен в 1 каналах,1,"**Профессиональная помощь при покупке автомобиля** 🚗🔧
Меня зовут Алмаз. У меня немалый опыт в ремонт..."
baraholka_bezh_kosa,@baraholka_bezh_kosa,1.8,Не заполнено,Heuristic Match: заказ,Активен в 1 каналах,1,"Костюмы для современных танцев, типа хип-хоп. Шили на заказ. Примерно на рост 134 см-140. 
Фиолетовы..."
music_heat26,@music_heat26,1.8,Не заполнено,Heuristic Match: ищу,Активен в 1 каналах,1,"**🌹ДЛЯ МИЛЫХ ЖЕНЩИН! 
КОМУ ФИГУРКУ К ЛЕТУ?

ИЩУ 5 МОДЕЛЕЙ 30+ НА 
КОРРЕКТИРУЮЩИЙ МАССАЖ
по зонам.
Жи..."
SinBelgrade,@SinBelgrade,1.8,Не заполнено,Heuristic Match: услуги заказ,Активен в 1 каналах,1,"🚚 Вам нужна надежная и быстрая доставка в Белграде? Мы позаботимся о вашем грузе!

🌟 Наши преимущест..."
Yulia,@douli,1.8,Не заполнено,Heuristic Match: продам,Активен в 1 каналах,1,"Продам шторы (!не блэкаут)
Белград, самовывоз. 
Waterfront/Savski Venac
По всем вопросам @douli

1. ..."
Ярослав Bolognese,@visarun_serbian,1.8,Не заполнено,Heuristic Match: контакты,Активен в 1 каналах,1,"БЕЛГРАД
**__НОВИ САД!!!__**
💯**Надёжный ВИЗАРАН** 2 рейса каждый день 

🗓 **Выезд
- 10:00
- 18:00 **..."
Ekaterina Kurakova,@KathrinIL,1.8,Не заполнено,Heuristic Match: пишите заказ,Активен в 1 каналах,1,"🥕Морковный торт по оригинальному рецепту в Белграде🍰 

С орехами, изюмом, и другими ингридиентами на..."
Maria Chepkasova,@maria_chepkasova,1.8,Не заполнено,Heuristic Match: цена заказ курс,Активен в 1 каналах,1,"Джинсы COS
Цвет: серый
Размер: 27 
(полуобхват по поясу 40 см)

Заказывала онлайн, надеты один раз, ..."
Татьяна Millenium Insurance,@milenijum_osiguranje,1.8,Не заполнено,Heuristic Match: контакты помощь,Активен в 1 каналах,1,"Страхование на все случаи жизни

Всем привет 🤗 Работаю в Milenijum Osiguranje #страховка  
Ваш русск..."
Valeria,@BrunsValerie,1.8,Не заполнено,Heuristic Match: продам цена пишите,Активен в 1 каналах,1,"**Продам прихожую Forma Ideale**
Компактная и удобная прихожая с зеркалом, крючками и тумбой для обу..."
Максим Стрелков,@Alive_World,1.8,Не заполнено,Heuristic Match: продам цена в лс,Активен в 1 каналах,1,"Рубрика ЭКСПЕРИМЕНТЫ
Продам монитор Mi 34' Curved 144 hz
Цена 10000 торг. Если торговаться нет желан..."
Vladimir,@vladimir_srb,1.8,Не заполнено,Heuristic Match: контакты в лс аренда,Активен в 1 каналах,1,"Меня зовут Владимир. Я гражданин Сербии, 22 года прожил в России и сейчас вернулся в г. Нови Сад. Вл..."
GuitarWay🎸,@guitarway_academy,1.8,Не заполнено,Heuristic Match: услуги стоимость пишите,Активен в 1 каналах,1,"#урокигитары #гитара #обучениеНагитаре #урокимузыки #услуги
#Электрогитара

🎸 Уроки гитары — электро..."
Victoria Petrova,@savi_s,1.8,Не заполнено,Heuristic Match: продам цена,Активен в 1 каналах,1,"Привет! Продам игровой монитор Dell G2422HS (165Hz, IPS).
Монитор в идеальном состоянии. Использовал..."
Ruslan H 🎮,@Ruslan20007,1.8,Не заполнено,Heuristic Match: продам цена телефон,Активен в 1 каналах,1,"Продам телефон 📲

Samsung Galaxy S26
12 | 256 ГБ
Цвет: чёрный
Модельный номер: sm-s942b/ds
Состояние..."
hotmail,@hotmail,1.8,Не заполнено,Heuristic Match: телефон (Business),Активен в 1 каналах,1,"ИСПАНСКИЙ ЯЗЫК ОНЛАЙН 

Квалифицированный преподаватель с опытом работы более 30 лет. Высшее педагог..."
garagesale458,@garagesale458,1.8,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"Разгружаю гардероб, продаю косметику и аксессуары:

1. Капюшон  \ новый \ 1600 rsd
2.Двойные винно-п..."
Александр Mag,@Magicmagwai,1.8,Не заполнено,Heuristic Match: помощь (Business),Активен в 1 каналах,1,"Паб «Badger and Mug» (центр Белграда, рядом с отелем «Москва») ищет повара-универсала.

Условия:
— о..."
Gleb🫶,@lipsink1,1.8,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"ХОТИТЕ НАУЧИТЬСЯ ИГРАТЬ НА ГИТАРЕ И НАКОНЕЦ ИСПОЛНИТЬ ДАВНЮЮ МЕЧТУ?

Думаете: «нет слуха», «уже позд..."
vintage_style7,@vintage_style7,1.8,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Котики лабубу
Котята породы корниш-рекс от породистых родителей из России, 3 месяца, приучены к лотк..."
prokat_palatok_veterok,@prokat_palatok_veterok,1.8,Не заполнено,Heuristic Match: прайс аренда,Активен в 1 каналах,1,"Привет! 

Прокат палаток в Белграде на связи!

Запланировал уже выезд на природу на выходные? У нас ..."
A_Clima_kanal,@A_Clima_kanal,1.8,Не заполнено,Heuristic Match: услуги предлагаю,Активен в 1 каналах,1,"Здравствуйте.
Меня зовут Андрей.
Занимаюсь холодильным торговым оборудованием, кондиционированием и ..."
Jela_Od_Eve,@Jela_Od_Eve,1.8,Не заполнено,Heuristic Match: стоимость,Активен в 1 каналах,1,"Привет! Меня зовут Евгения 🍴
Я живу в Белграде и готовлю **домашнюю вкусную еду** на каждый день с д..."
Marija,@Marija444,1.8,Не заполнено,Heuristic Match: whatsapp,Активен в 1 каналах,1,"Здравствуйте! ☺️

👉 Меня зовут Мария, я носитель сербского языка и преподаватель сербского языка для..."
Andreas Petrov,@Winius,1.8,Не заполнено,Heuristic Match: стоимость заказ,Активен в 1 каналах,1,"пожалуй **лучшее для Вас** от нас - расширяем линейку продуктов питания для Вашего удобства ⚡

✅ пел..."
Darina Design 💻,@DarinaDesign1,1.8,Не заполнено,Heuristic Match: реклам[аыу] услуги заказ,Активен в 1 каналах,1,"**✅ Графический Дизайнер №1 в Белграде и Сербии 🇷🇸**

**— УСЛУГИ —**
🎁 Реклама Вашего бизнеса  
💻 Ви..."
labnotnec,@labnotnec,1.8,Не заполнено,Heuristic Match: продам цена,Активен в 1 каналах,1,"**Док-станция Dell ProX — оригинал, рабочая**

Продам оригинальную док-станцию **Dell ProX**.
Полнос..."
Seda Jafarova,@OkkamRazors,1.8,Не заполнено,Heuristic Match: стоимость viber whatsapp,Активен в 1 каналах,1,"Математика и Физика: Фундаментальный подход с опытом 31 год 🎓
Ваш ребенок путается в формулах, а шко..."
Andrei Potapov,@Andrei_Aditya,1.8,Не заполнено,Heuristic Match: пишите помощь,Активен в 1 каналах,1,"Здравствуйте.
Меня зовут Андрей. 
Я профессиональный массажист, мой опыт работы - 12 лет.🙌
Принимаю ..."
Dr.AndroidMan,@Andrei_rR11,1.2,Не заполнено,Heuristic Match: предлагаю ищу цена (Business),Активен в 1 каналах,1,"#cv #resume #ищу #резюме #android #kotlin #mobile #fulltime #remote #compose #crypto

Android Develo..."
Timur Arslonov,@ArsTimur,1.2,Не заполнено,Heuristic Match: услуги предлагаю пишите,Активен в 1 каналах,1,"👨‍🍳Повар с 12-летним опытом работы в ресторанах предлагает услуги личного повара в семье

Работал с ..."
Breeze Cleaning,@managerBreezeCleaning,1.2,Не заполнено,Heuristic Match: стоимость заказ,Активен в 1 каналах,1,"​Breeze Cleaning — ваш надежный клининг в Белграде и Нови-Саде!

​🎁 СКИДКА 15% + ПОДАРОК В ЧЕСТЬ ЗАП..."
Aleksandar Tanaskovic,@serbia_buch,1.2,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"Просто — о налогах и бухучете в Сербии

Появился новый канал, в котором сербский бухгалтер на русско..."
Maks,@maksibon95,1.2,Не заполнено,Heuristic Match: услуги пишите viber,Активен в 1 каналах,1,"Максим — ваш мастер на час в Белграде
Быстро, надёжно и без головной боли!

Если нужно что-то почини..."
"Aleks-NS (Трансфер, визаран, перевозка вещей),",@Aleks_NS777,1.2,Не заполнено,Heuristic Match: предлагаю пишите,Активен в 1 каналах,1,"Всем, добрый день!!!

Я - водитель со стажем, более 2️⃣0⃣лет. Проехал по Сербии более 250000 километ..."
veragrigoreva2121,@veragrigoreva2121,1.2,Не заполнено,Heuristic Match: номер,Активен в 1 каналах,1,"@veragrigoreva2121

Остерегайтесь этих мошенников!!! Крадут аккаунт вайбер без возможности возврата!..."
Юлия,@LogopedIuliia,1.2,Не заполнено,Heuristic Match: стоимость,Активен в 1 каналах,1,"Нейропсихологическая диагностика оценивает: память( рабочую память ребенка, ее показатели очень важн..."
Евгений,@HomemaistorEvg,1.2,Не заполнено,Heuristic Match: стоимость помощь (Business),Активен в 1 каналах,1,"Здравствуйте!

Я занимаюсь бытовым ремонтом и помогаю быстро решить разные технические проблемы дома..."
Венера Боснийская Принимающая сторона в Боснии и Герцеговине для туристов,@bosniaguide,1.2,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"🔥 Ищем Event Sales Manager / Партнёра по продажам

Ищем сильного специалиста, который самостоятельно..."
avito_serbia,@avito_serbia,1.2,Не заполнено,Heuristic Match: реклам[аыу] заказ,Активен в 1 каналах,1,"✅ РЕКЛАМНЫЙ ПОНЕДЕЛЬНИК!!!

Всем, кто хочет привлечь внимание к своим проектам и получить новых клие..."
Anastasia Burova,@Burova_SMM,1.2,Не заполнено,Heuristic Match: пишите whatsapp,Активен в 1 каналах,1,"Привет, я Анастасия — СММ-специалист и маркетолог.
Делаю так, чтобы ваши соцсети работали на бизнес,..."
owletsale,@owletsale,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"ВНИМАНИЕ : цена покатилась по наклонной …🛝

Толстовка из декатлона, слегка укороченная (поясницу при..."
Igor K,@holoko,1.2,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"Кроссовки Adidas Originals Yung-1 размер 47 1/3

На одном кроссовке маленькая дырка на пятке, на фот..."
Александра,@sandra_spb1,1.2,Не заполнено,Heuristic Match: цена обучение,Активен в 1 каналах,1,"БРОНЬ
**📚 детская книга** ""**Učim prve reči**""

Продаю развивающую книгу **«Učim prve reči»**
Отличн..."
Nadezdagraff,@Nadezdagraff,1.2,Не заполнено,Heuristic Match: whatsapp,Активен в 1 каналах,1,"**Массаж на любой случай: от коррекции фигуры до полного релакса! 🌸**
Меня зовут Надежда, и я помогу..."
nisam_stranac,@nisam_stranac,1.2,Не заполнено,Heuristic Match: пишите (Business),Активен в 1 каналах,1,"Откладываете важные дела, потому что «надо будет разбираться на сербском»?
Записаться к врачу, сходи..."
Natalia,@Luna_112233,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Профессиональная стрижка собак. ✂️✂️✂️
-Все виды стрижек 
-Полный салонный уход на дому , по доступн..."
Даша,@da_petrovskikh,1.2,Не заполнено,Heuristic Match: предлагаю пишите,Активен в 1 каналах,1,Всем привет! Меня зовут Даша. Я являюсь сертифицированным преподавателем по испанскому языку (экзаме...
tasma_sale,@tasma_sale,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"__Сундук__ 
Сундук/ящик для постельного белья 
• размер: 120х45х100 

Цена: 300 €
Локация: Белград, ..."
Alice_saleNBG,@Alice_saleNBG,1.2,Не заполнено,Heuristic Match: продам,Активен в 1 каналах,1,"**Продам**

1. Тренч  **4 000**
2. Косуха **2 500**, рубашка **900**, комбинезон **1400**
3. Коротко..."
mira_krr,@mira_krr,1.2,Не заполнено,Heuristic Match: в лс помощь,Активен в 1 каналах,1,"Сдается квартира! 

Белград, Звездара
Пет-френдли 3х комнатная квартира ~70кв/м (разрешены и кошки и..."
Marko Nikolic,@markoniki,1.2,Не заполнено,Heuristic Match: услуги аренда (Business),Активен в 1 каналах,1,"Сдаётся двухкомнатная квартира, Савски Венац | 3 минуты пешком до Belgrade Waterfront

Квартира дост..."
Miroslav Medvedev,@Miroslav_Medvedev,1.2,Не заполнено,Heuristic Match: ищу обучение подбор,Активен в 1 каналах,1,"**Всем привет.**
**Меня зовут Медведев  Мирослав, я концепт-шеф с 14-летним опытом в запуске и кризи..."
marspr1v3t,@marsprivet,1.2,Не заполнено,Heuristic Match: стоимость,Активен в 1 каналах,1,"Помогаю властнице сдать квартиру.
С **10 апреля** освобождаю квартиру.

Расположение: улица Мажурани..."
Anna Milosevic,@anna_milose,1.2,Не заполнено,Heuristic Match: продам цена заказ,Активен в 1 каналах,1,"Продам новый набор в котором 4 моделирующих геля и топ. Вдохновилась им в мск, единственный гель, го..."
FamCleanEco,@famcleaneco,1.2,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"🧼 Химчистка мебели в Белграде
Поможем, если:
🐾 мебель в шерсти и запахах от животных
🛋 купили диван ..."
GruzoperevozkiBeograd,@GruzoperevozkiBeograd,1.2,Не заполнено,Heuristic Match: заказ,Активен в 1 каналах,1,"**Грузоперевозки  Переезды Доставки
на грузовом автомобиле** ( до 3 т)

Доставки мебели, техники и.т..."
Egor,@zdrvstvyt,1.2,Не заполнено,Heuristic Match: ищу,Активен в 1 каналах,1,"Ищу сильного, гибкого и ответственного **преподавателя Английского языка** для долгосрочного сотрудн..."
Ivan,@MarvinSv,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Детская машинка-каталка

Продаётся детская машинка-каталка.

Новый Београд 24 блок 
Цена: 700 динар ..."
Любовь Снегирева,@lsliubov,1.2,Не заполнено,Heuristic Match: продам цена номер,Активен в 1 каналах,1,Продам ноутбук Lenovo LOW 15IAX9. В отличном состоянии. Гарантия до ноября. Использовали только пару...
Диана | Перевозка животных,@diana_transportation_animals,1.2,Не заполнено,Heuristic Match: стоимость,Активен в 1 каналах,1,"Друзья!
Во вторник 31 марта в 19:00 по мск мы проведем прямой эфир на тему “Перевозка животных за гр..."
NetworkshopBG,@NetworkshopBG,1.2,Не заполнено,Heuristic Match: цена номер,Активен в 1 каналах,1,"Маршрутизатор Cisco 1841
 
❗️Номер лота: 0001❗️
❗️Б/У❗️

📍Белград

✅В наличии 
✅Проверен
✅10/100 мег..."
Della Клининг Уборка Белград,@della121212,1.2,Не заполнено,Heuristic Match: цена заказ,Активен в 1 каналах,1,"Вы стараетесь следить за здоровьем, правильно питаться, но есть ли у вас главное - воздух и свет?

В..."
beauty_stbg,@beauty_stbg,1.2,Не заполнено,Heuristic Match: услуги,Активен в 1 каналах,1,"Бьюти студия в 📍Новом Белграде открывает набор мастеров:

⚠️ ПОДОЛОГ | Мастер маникюра и педикюра
⚠️..."
Anton Chimin,@antonchimin,1.2,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"Продаю мебель и посуду в Вождавце на Воjводе Степе: @garagesalevozdovac

IKEA 
• Сушка
• Мусорное ве..."
Svetlana Kachur,@KachurSvetlana,1.2,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,**Профессиональное и безопасное удаление татуировок и татуажа неодимовым лазером в салоне в центре Б...
alex_prod_ai,@alex_prod_ai,1.2,Не заполнено,Heuristic Match: пишите телефон (Business),Активен в 1 каналах,1,"Видеограф-Контент Мейкер 
Оплата: 40-50 € за съёмку

Опыт работы: От 1 года
Занятость: Гибкая 
Графи..."
Милован Южный Бульвар,@VURDOOOK,1.2,Не заполнено,Heuristic Match: услуги цена пишите,Активен в 1 каналах,1,"Доброго дня! 

Мы - трансферная компания MINDAROS.

🚘 Предлагаем: 

- Трансферы в/из аэропорта 
- Бы..."
sonyagaragesale,@sonyagaragesale,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"**Планшет для рисования 
Xp-pen 22 pro (1st gen)
**
- Полный комплект: планшет, все провода (+доп пр..."
Yulia Churuksaeva,@limonadd,1.2,Не заполнено,Heuristic Match: продам цена заказ,Активен в 1 каналах,1,"🇩🇪 Эксклюзив из Германии: Кастомный Velo de Ville

**Продам** премиальный немецкий велосипед от ману..."
Vladislav Gusarov,@konchik_k,1.2,Не заполнено,Heuristic Match: цена пишите телефон,Активен в 1 каналах,1,"**iPhone 15 Pro Max 256GB - отличное состояние**

Продаю iPhone 15 Pro Max. Телефон в идеальном сост..."
Design_lavka_bot,@Design_lavka_bot,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Если в квартире что-то не устраивает, это не повод затевать дорогой ремонт. 

**Дизайн интерьера - э..."
GlebZhiglo,@GlebZhiglo,1.2,Не заполнено,Heuristic Match: обучение помощь,Активен в 1 каналах,1,"Официант

[SONDER CAFE](https://www.instagram.com/sonder.belgrade/)

Требуется официант в проект Son..."
Denis,@dendrive,1.2,Не заполнено,Heuristic Match: стоимость,Активен в 1 каналах,1,"**Сдаётся 1-комнатная квартира на 1 месяц (10 апреля - 10 мая)**

Сдаю уютную 1-комнатную квартиру (..."
Екатерина,@e_makarovskaia,1.2,Не заполнено,Heuristic Match: цена (Business),Активен в 1 каналах,1,"**Колонка Marshall Middleton (чёрная)**
Стильная и мощная портативная колонка, глубокий бас, чистый ..."
staff_budva,@staff_budva,1.2,Не заполнено,Heuristic Match: контакты whatsapp,Активен в 1 каналах,1,**Сеть ресторанов ⭐Amber (город Будва)⭐ приглашает в свою команду специалистов на вакантные позиции:...
garagesale_bel,@garagesale_bel,1.2,Не заполнено,Heuristic Match: продам цена,Активен в 1 каналах,1,"Продам **наушники JBL Tune 305C** USB-C White Bubice - **НОВЫЕ**!
Цена: 2.000 RSD

Детали: 
Куплены ..."
Daniel 🦬,@dolldany,1.2,Не заполнено,Heuristic Match: продам цена в лс,Активен в 1 каналах,1,"**🛋 Продам диван-кровать (Белград)**
• **Состояние:** отличное, механизм работает.
• **Особенности:*..."
solodkov_i,@solodkov_i,1.2,Не заполнено,Heuristic Match: ищу контакты заказ,Активен в 1 каналах,1,"Здравствуйте!
Меня зовут Иван, 31 год.
Активно ищу работу и открыт к новым возможностям. Рассматрива..."
Laundry_Belgrade,@Laundry_Belgrade,1.2,Не заполнено,Heuristic Match: заказ обучение (Business),Активен в 1 каналах,1,"🔹 Express Laundry (Белград) — профессиональная химчистка одежды и обуви

Открыта вакансия:

👗 Мастер..."
